artefact_id,period,raw_material,platform_prep,length_mm,width_mm,thickness_mm,platform_mm,weight_g,giur,elongation
ART-0071,Lower,Quartzite,Plain,55,40.8,12.6,10.1,14.83,0.339,1.3480392156862746
ART-0073,Lower,Quartzite,Faceted,57.7,42.4,13.9,11.3,20.1,0.391,1.3608490566037736
ART-0074,Lower,Quartzite,Abraded,54,37.3,14.5,5.5,17.58,0.387,1.447721179624665
ART-0075,Lower,Quartzite,Plain,48.1,38.6,15.8,12.5,15.950000000000001,0.323,1.2461139896373057
ART-0076,Lower,Quartzite,Plain,33.3,28.5,9.8,8.8,5.119999999999999,0.308,1.1684210526315788
ART-0077,Lower,Basic Chert,Plain,32.4,22.6,8.6,7.7,3.79,0.178,1.4336283185840706
ART-0078,Lower,Quartzite,Faceted,52.7,47.5,15.5,10,19.57,0.397,1.1094736842105264
ART-0079,Lower,Quartzite,Faceted,26.1,35.1,15.2,6.2,9.33,0.297,0.7435897435897436
ART-0080,Lower,Quartzite,Plain,37.9,21.5,10.8,8.6,4.659999999999999,0.405,1.7627906976744185
ART-0081,Lower,Quartzite,Plain,54.8,31.9,17.4,10.8,17.150000000000002,0.261,1.7178683385579938
ART-0082,Lower,Basic Chert,Plain,55.7,34.8,11.2,10,12.68,0.206,1.6005747126436785
ART-0083,Lower,Quartzite,Plain,57.4,39.9,12.6,8.7,18.24,0.147,1.4385964912280702
ART-0084,Lower,Quartzite,Plain,38,25.6,15.5,7.6,10,0.239,1.484375
ART-0085,Lower,Fine Chert,Plain,63.6,38.1,17.3,6.9,26.41,0.099,1.669291338582677
ART-0086,Lower,Quartzite,Faceted,26,20.2,15,5.4,5.22,0.197,1.2871287128712872
ART-0087,Lower,Quartzite,Faceted,40.7,39.3,16.8,10.4,17.73,0.276,1.0356234096692114
ART-0088,Lower,Basic Chert,Faceted,44,39.7,14.4,11.3,12.78,0.454,1.1083123425692694
ART-0089,Lower,Quartzite,Faceted,52.2,46,15.8,12,20.9,0.227,1.1347826086956523
ART-0090,Lower,Basic Chert,Plain,63.2,47.6,16.5,11.8,23.51,0.362,1.3277310924369747
ART-0091,Lower,Fine Chert,Faceted,30.1,27.4,4.9,6.8,2.7,0.266,1.0985401459854016
ART-0092,Lower,Quartzite,Plain,26.5,31.9,11.2,7.8,5.57,0.293,0.8307210031347962
ART-0093,Lower,Quartzite,Faceted,43.7,36.6,13.4,11.4,11.41,0.279,1.1939890710382515
ART-0094,Lower,Basic Chert,Abraded,34.3,24.2,11.4,9.1,4.41,0.135,1.4173553719008263
ART-0095,Lower,Basic Chert,Faceted,55.4,43.1,14.5,5.9,19.06,0.219,1.28538283062645
ART-0096,Lower,Basic Chert,Plain,47.8,39.8,15.1,7.6,13.51,0.205,1.2010050251256281
ART-0097,Lower,Quartzite,Plain,67.7,40.4,16.6,13.3,24.24,0.357,1.675742574257426
ART-0098,Lower,Quartzite,Plain,23.8,43.9,9.4,8.7,6,0.401,0.5421412300683371
ART-0099,Lower,Quartzite,Abraded,27.3,28.4,8.4,7.7,4.37,0.13,0.9612676056338029
ART-0100,Lower,Quartzite,Faceted,49.7,25.2,20.4,8.5,13.17,0.276,1.9722222222222223
ART-0101,Middle,Basic Chert,Faceted,56.9,33.6,10.8,8.1,11.860000000000001,0.569,1.693452380952381
ART-0102,Middle,Obsidian,Faceted,36.3,24.1,8.3,8.6,3.25,0.585,1.5062240663900412
ART-0103,Middle,Basic Chert,Faceted,47.5,29.5,10.3,8.2,9.16,0.524,1.6101694915254237
ART-0104,Middle,Basic Chert,Abraded,46.5,27.8,9,7.4,5.45,0.408,1.6726618705035972
ART-0105,Middle,Basic Chert,Plain,37.5,24.7,7.7,7.8,4.55,0.421,1.5182186234817814
ART-0106,Middle,Quartzite,Faceted,44.2,32.1,11,8.5,7.930000000000001,0.548,1.3769470404984423
ART-0107,Middle,Basic Chert,Faceted,42.5,28.2,12.5,8,7.1,0.471,1.5070921985815604
ART-0108,Middle,Quartzite,Faceted,18.4,13.8,5,4.1,0.69,0.443,1.3333333333333333
ART-0109,Middle,Quartzite,Abraded,56,34.5,12.3,9,11.89,0.52,1.6231884057971016
ART-0110,Middle,Basic Chert,Abraded,60.1,37.4,10.5,9.3,13.38,0.449,1.6069518716577542
ART-0112,Middle,Fine Chert,Plain,66.7,33.7,12,11.8,13.84,0.447,1.9792284866468841
ART-0113,Middle,Basic Chert,Faceted,49.2,30.1,6.9,7.8,5.64,0.457,1.6345514950166113
ART-0114,Middle,Basic Chert,Plain,52.1,33.2,12.5,7.7,13.84,0.433,1.569277108433735
ART-0115,Middle,Quartzite,Plain,61.4,38.7,11.1,8.9,18.21,0.529,1.58656330749354
ART-0116,Middle,Fine Chert,Plain,77.6,49.7,15.4,8.5,34.15,0.599,1.561368209255533
ART-0117,Middle,Fine Chert,Faceted,48,37.2,9.8,8.4,10.31,0.458,1.2903225806451613
ART-0118,Middle,Basic Chert,Abraded,49.6,25,7.7,9.7,5.1899999999999995,0.585,1.984
ART-0119,Middle,Quartzite,Plain,68.4,43.8,13.1,9.8,25.18,0.553,1.5616438356164386
ART-0120,Middle,Fine Chert,Faceted,47.6,22.1,11,6.9,5.98,0.521,2.1538461538461537
ART-0121,Middle,Obsidian,Faceted,61.6,45,11.6,9.5,13.97,0.412,1.3688888888888888
ART-0122,Middle,Basic Chert,Abraded,38.6,23.5,7.6,NA,3.3699999999999997,0.217,1.6425531914893619
ART-0123,Middle,Fine Chert,Abraded,36.4,19.7,8.8,7.8,3.01,0.614,1.8477157360406091
ART-0124,Middle,Fine Chert,Plain,60.5,34.1,9,8.4,10.229999999999999,0.406,1.7741935483870968
ART-0125,Middle,Fine Chert,Faceted,37.9,27.1,11.8,7,6.1899999999999995,0.415,1.3985239852398523
ART-0126,Middle,Quartzite,Faceted,47.4,25.7,10.3,8.6,6.79,0.492,1.8443579766536964
ART-0127,Middle,Fine Chert,Faceted,36.4,28.5,9,5.4,5.23,0.588,1.2771929824561403
ART-0128,Middle,Basic Chert,Faceted,39.7,28.8,8.4,7.3,4.7,0.53,1.3784722222222223
ART-0129,Middle,Fine Chert,Plain,39,19.8,9.2,5,3.4299999999999997,0.662,1.9696969696969697
ART-0130,Middle,Quartzite,Faceted,41.8,25.3,5.9,6,3.9499999999999997,0.516,1.652173913043478
ART-0131,Middle,Quartzite,Faceted,48,23,8.1,6.7,5.72,0.48,2.0869565217391304
ART-0132,Middle,Quartzite,Faceted,60.6,35.6,10.1,9.9,14.450000000000001,0.394,1.702247191011236
ART-0133,Middle,Quartzite,Faceted,53.6,20.5,11.6,7.6,8.629999999999999,0.49,2.6146341463414635
ART-0134,Middle,Fine Chert,Faceted,31.9,27.8,10,6.9,4.5,0.374,1.1474820143884892
ART-0136,Middle,Quartzite,Abraded,47.3,24.9,10,8.8,7.5,0.361,1.8995983935742973
ART-0137,Middle,Quartzite,Plain,49.5,32.7,9.5,6.7,9.5,0.419,1.513761467889908
ART-0138,Middle,Basic Chert,Abraded,39.4,24.6,9.2,6.2,5.88,0.495,1.6016260162601625
ART-0139,Middle,Basic Chert,Faceted,57,27.3,13.1,9.7,11.6,0.492,2.087912087912088
ART-0140,Middle,Basic Chert,Plain,40.8,22.4,8.6,6.1,3.69,0.409,1.8214285714285714
ART-0141,Middle,Quartzite,Abraded,35.4,19.6,6.3,4.5,2.57,0.469,1.8061224489795917
ART-0142,Middle,Fine Chert,Faceted,59.4,30.8,7.5,6.8,7.59,0.38,1.9285714285714284
ART-0143,Middle,Fine Chert,Faceted,54.4,26.8,4.5,6.5,3.9,0.507,2.029850746268657
ART-0144,Middle,Fine Chert,Plain,50.5,34.2,11.2,10,10.51,0.482,1.4766081871345027
ART-0145,Middle,Fine Chert,Faceted,40.7,21.9,7.7,6.8,4.56,0.348,1.858447488584475
ART-0146,Middle,Fine Chert,Plain,38.7,28.3,10.1,7.7,6.14,0.569,1.3674911660777387
ART-0147,Middle,Quartzite,Faceted,50.1,25.4,9.4,9.5,8.370000000000001,0.275,1.97244094488189
ART-0148,Middle,Quartzite,Faceted,39.9,25.6,7.3,6.2,5.06,0.411,1.5585937499999998
ART-0149,Middle,Basic Chert,Faceted,53.9,41,11.5,9.8,14.370000000000001,0.475,1.3146341463414635
ART-0150,Middle,Basic Chert,Faceted,50.2,31.2,11.8,7.9,11.91,0.516,1.608974358974359
ART-0151,Middle,Quartzite,Faceted,48.5,28,14.5,7.9,13.7,0.382,1.7321428571428572
ART-0152,Middle,Quartzite,Plain,63.1,29.1,10.8,9.9,10.6,0.256,2.1683848797250858
ART-0153,Middle,Quartzite,Faceted,48.5,36.3,11,8.4,10.739999999999998,0.58,1.3360881542699725
ART-0154,Middle,Basic Chert,Plain,45.3,26.1,8.2,7,5.17,0.5,1.7356321839080457
ART-0155,Middle,Quartzite,Faceted,36.4,18.6,9.8,6.4,4,0.427,1.9569892473118278
ART-0156,Middle,Basic Chert,Faceted,30.1,21,9.2,4,3.4499999999999997,0.329,1.4333333333333333
ART-0157,Middle,Obsidian,Faceted,49.9,32.7,11.5,9.5,11.62,0.458,1.5259938837920488
ART-0158,Middle,Fine Chert,Faceted,32.6,25.3,8.4,8,4.1,0.573,1.2885375494071147
ART-0159,Middle,Fine Chert,Faceted,33.5,24.1,11.1,6.1,4.52,0.565,1.3900414937759336
ART-0160,Middle,Basic Chert,Faceted,57.3,27.4,7.9,8.5,7.2,0.503,2.091240875912409
ART-0161,Middle,Quartzite,Faceted,37.9,24.6,6.4,5.3,3.63,0.423,1.540650406504065
ART-0163,Middle,Obsidian,Faceted,56.8,29.5,7.9,9,5.859999999999999,0.571,1.9254237288135592
ART-0164,Middle,Basic Chert,Faceted,41.3,25.9,8.8,3.6,5.8,0.318,1.5945945945945945
ART-0165,Middle,Fine Chert,Faceted,70.4,46.1,12.5,11.9,25.29,0.711,1.5271149674620392
ART-0166,Middle,Basic Chert,Faceted,32.8,28.5,7.6,8.4,3.63,0.543,1.150877192982456
ART-0167,Middle,Quartzite,Faceted,43.7,32,7.7,10,6.21,0.573,1.365625
ART-0168,Middle,Basic Chert,Abraded,68.7,41.9,9.4,10.4,14.06,0.438,1.6396181384248212
ART-0169,Middle,Fine Chert,Faceted,34.2,26.4,7.7,6.5,3.9499999999999997,0.381,1.2954545454545456
ART-0170,Middle,Fine Chert,Plain,43.9,28.7,10,8.7,7.430000000000001,0.345,1.529616724738676
ART-0171,Middle,Basic Chert,Faceted,41.6,27.9,5.5,10.5,3.23,0.441,1.4910394265232976
ART-0172,Middle,Quartzite,Abraded,42.4,21.7,9,5.9,4.94,0.627,1.9539170506912442
ART-0173,Middle,Basic Chert,Faceted,35.3,16.1,5.7,4.9,1.62,0.454,2.1925465838509313
ART-0174,Middle,Basic Chert,Abraded,50.7,37.3,6.1,5.5,6.23,0.55,1.3592493297587134
ART-0175,Middle,Fine Chert,Faceted,52.4,23.6,9.5,7.1,6.819999999999999,0.462,2.2203389830508473
ART-0176,Middle,Obsidian,Faceted,33.8,27.1,10.1,5.9,5.5,0.423,1.247232472324723
ART-0177,Middle,Fine Chert,Abraded,50.3,22.8,7.2,7.5,5.21,0.525,2.2061403508771926
ART-0178,Middle,Basic Chert,Faceted,63.3,29.5,8.9,7.7,8.19,0.397,2.1457627118644065
ART-0179,Middle,Basic Chert,Plain,46.1,30.2,9.7,7.7,7.01,0.492,1.5264900662251657
ART-0180,Middle,Quartzite,Faceted,47.5,28,7.8,6.3,5.23,0.626,1.6964285714285714
ART-0181,Middle,Quartzite,Plain,58.2,32,8.5,10.4,8.639999999999999,0.523,1.81875
ART-0182,Middle,Obsidian,Faceted,49.6,29.6,8.8,7.8,7.79,0.494,1.6756756756756757
ART-0183,Middle,Basic Chert,Faceted,38.6,22.7,8,10.5,3.9299999999999997,0.497,1.7004405286343613
ART-0184,Middle,Obsidian,Faceted,51.2,27.3,12.7,8.8,10.639999999999999,0.573,1.8754578754578755
ART-0185,Middle,Basic Chert,Faceted,60.3,37.2,9.1,9.6,9.66,0.315,1.6209677419354838
ART-0186,Middle,Quartzite,Abraded,45.4,22.6,10.3,6.5,5.17,0.388,2.0088495575221237
ART-0187,Middle,Fine Chert,Abraded,37.6,23.2,7.2,5.1,4.159999999999999,0.495,1.620689655172414
ART-0188,Middle,Fine Chert,Faceted,36.8,20.2,10.1,4,3.72,0.503,1.8217821782178216
ART-0189,Middle,Fine Chert,Faceted,44.6,15.3,7.7,10.2,2.74,0.367,2.915032679738562
ART-0190,Middle,Basic Chert,Faceted,60.8,37.1,13.7,9.4,17.55,0.338,1.6388140161725067
ART-0191,Middle,Quartzite,Plain,50.6,30.2,5.7,5.5,5.26,0.502,1.675496688741722
ART-0192,Middle,Basic Chert,Plain,42.4,34.3,8.7,8.7,6.4,0.339,1.2361516034985423
ART-0193,Middle,Fine Chert,Faceted,73,36.7,13.5,10.1,20.56,0.494,1.989100817438692
ART-0194,Middle,Basic Chert,Faceted,62.4,36,9.3,10.1,10.4,0.41,1.7333333333333334
ART-0195,Middle,Fine Chert,Faceted,38.9,24.1,6.4,7.1,3.55,0.647,1.6141078838174272
ART-0196,Middle,Fine Chert,Abraded,50.3,29.3,12.1,9.9,11.99,0.444,1.7167235494880544
ART-0197,Middle,Basic Chert,Faceted,50.1,36.9,11.7,8.5,13.93,0.441,1.3577235772357725
ART-0198,Middle,Quartzite,Plain,50.3,31.4,12.7,7,11.11,0.475,1.6019108280254777
ART-0199,Middle,Basic Chert,Faceted,66.7,36.6,14.3,10.7,19.22,0.4,1.8224043715846994
ART-0200,Middle,Basic Chert,Faceted,58.5,32.8,8.3,10.2,10.52,0.566,1.7835365853658538
ART-0201,Upper,Fine Chert,Abraded,64.1,22.6,9,7.3,7.57,0.268,2.8362831858407076
ART-0202,Upper,Obsidian,Abraded,58.2,22.5,7.3,6.1,5.06,0.342,2.586666666666667
ART-0203,Upper,Fine Chert,Faceted,51.5,20.8,6.9,6.5,3.9699999999999998,0.413,2.4759615384615383
ART-0204,Upper,Quartzite,Plain,54.1,22.6,7.9,7,5.03,0.341,2.393805309734513
ART-0205,Upper,Fine Chert,Abraded,50.7,23.1,7.6,5.9,4.92,0.377,2.1948051948051948
ART-0206,Upper,Obsidian,Abraded,51.7,18.7,5.4,5.6,2.3299999999999996,0.262,2.7647058823529416
ART-0207,Upper,Basic Chert,Abraded,59.8,22.1,8.2,7.6,6.6,0.278,2.705882352941176
ART-0208,Upper,Fine Chert,Plain,53,21.3,6.5,5.9,4.46,0.477,2.488262910798122
ART-0209,Upper,Basic Chert,Abraded,69.4,25.7,7.8,8.3,6.8,0.347,2.700389105058366
ART-0210,Upper,Basic Chert,Abraded,54.1,20.9,5.3,5.7,3.63,0.222,2.5885167464114835
ART-0211,Upper,Fine Chert,Abraded,46.1,16.6,6.5,5.5,2.44,0.434,2.7771084337349397
ART-0212,Upper,Fine Chert,Abraded,63.1,22.6,7.1,7.7,5.24,0.377,2.7920353982300883
ART-0213,Upper,Fine Chert,Faceted,54.9,16.7,6.3,4.4,2.9299999999999997,0.472,3.287425149700599
ART-0214,Upper,Basic Chert,Faceted,56.6,20.9,7.4,6.5,5.04,0.32,2.708133971291866
ART-0215,Upper,Fine Chert,Faceted,40.2,13.6,5.8,4.3,1.6300000000000001,0.23,2.9558823529411766
ART-0216,Upper,Fine Chert,Faceted,58,20.9,6.3,6.6,4.53,0.454,2.7751196172248807
ART-0217,Upper,Obsidian,Abraded,48.9,20.2,8.6,4.7,4.45,0.33,2.4207920792079207
ART-0218,Upper,Fine Chert,Faceted,57.3,19.8,8,4.9,5.26,0.385,2.8939393939393936
ART-0219,Upper,Basic Chert,Faceted,52.3,18,7.3,6.3,4.24,0.387,2.9055555555555554
ART-0220,Upper,Fine Chert,Abraded,68.1,26.7,9,7.1,10.91,0.397,2.550561797752809
ART-0221,Upper,Fine Chert,Abraded,57.5,21,8.2,5.9,6.49,0.46,2.738095238095238
ART-0222,Upper,Fine Chert,Abraded,74.2,27.6,9.2,7.2,9.139999999999999,0.468,2.6884057971014492
ART-0223,Upper,Basic Chert,Faceted,58,26.7,7.2,7.4,5.1899999999999995,0.492,2.1722846441947565
ART-0224,Upper,Quartzite,Abraded,59.1,24.7,6.2,6.1,6.13,0.451,2.3927125506072877
ART-0225,Upper,Fine Chert,Abraded,37.1,16.3,5.7,4.3,2.13,0.31,2.276073619631902
ART-0226,Upper,Fine Chert,Abraded,70.7,26.6,7.8,7,7.359999999999999,0.23,2.6578947368421053
ART-0227,Upper,Fine Chert,Abraded,45.2,17.8,6.5,6.1,2.52,0.397,2.539325842696629
ART-0228,Upper,Fine Chert,Abraded,59.2,21.7,7,NA,4.94,0.432,2.728110599078341
ART-0229,Upper,Obsidian,Faceted,63.6,22.7,7.3,6.6,6.28,0.264,2.801762114537445
ART-0230,Upper,Fine Chert,Abraded,68.1,27.1,10.9,7,12.42,0.43,2.512915129151291
ART-0231,Upper,Obsidian,Abraded,44.3,20.8,5.7,4.5,2.94,0.354,2.129807692307692
ART-0232,Upper,Fine Chert,Faceted,71.8,27.6,7,8,8.61,0.443,2.6014492753623184
ART-0233,Upper,Fine Chert,Abraded,59.2,24.1,7.4,6.6,5.659999999999999,0.191,2.4564315352697097
ART-0234,Upper,Quartzite,Abraded,43.7,15,6.6,4.7,2.71,0.363,2.9133333333333336
ART-0235,Upper,Basic Chert,Abraded,54.6,19.5,7.1,5.8,3.9099999999999997,0.356,2.8000000000000003
ART-0236,Upper,Fine Chert,Abraded,52.3,16.6,7.7,6.5,4.23,0.186,3.150602409638554
ART-0237,Upper,Fine Chert,Abraded,58.8,23.9,8.2,5.6,5.6499999999999995,0.195,2.4602510460251046
ART-0238,Upper,Fine Chert,Abraded,44.3,19.8,6,6.4,3.3099999999999996,0.361,2.237373737373737
ART-0239,Upper,Fine Chert,Faceted,54.9,18.3,6.8,4.9,4.2700000000000005,0.32,3
ART-0240,Upper,Fine Chert,Abraded,64.7,24.3,8.3,6,7.42,0.254,2.662551440329218
ART-0241,Upper,Obsidian,Faceted,52.7,22.3,5.8,5.7,3,0.494,2.3632286995515694
ART-0242,Upper,Obsidian,Faceted,54.7,19.9,7.1,5.9,3.4299999999999997,0.222,2.7487437185929653
ART-0243,Upper,Fine Chert,Abraded,69.7,20.8,6.5,5.9,6.26,0.396,3.3509615384615383
ART-0244,Upper,Fine Chert,Abraded,61.9,26.9,7.2,6.8,7.819999999999999,0.324,2.3011152416356877
ART-0245,Upper,Obsidian,Abraded,72.4,25.7,7.6,6.1,6.28,0.3,2.8171206225680936
ART-0246,Upper,Fine Chert,Faceted,37.4,16.6,5.9,3.6,2.38,0.294,2.2530120481927707
ART-0247,Upper,Basic Chert,Faceted,64,25.7,7.7,5.6,7.3,0.529,2.490272373540856
ART-0248,Upper,Fine Chert,Faceted,41.4,12.3,4.1,5.2,1.1,0.48,3.3658536585365852
ART-0249,Upper,Fine Chert,Abraded,67.3,24.6,8.4,6.5,8.66,0.314,2.735772357723577
ART-0250,Upper,Fine Chert,Plain,43.2,18.9,5.4,5.6,2.65,0.517,2.285714285714286
ART-0251,Upper,Fine Chert,Abraded,53.9,17.1,6.5,6.6,2.8699999999999997,0.369,3.1520467836257304
ART-0252,Upper,Obsidian,Abraded,50.4,15.1,5.5,4.3,1.84,0.385,3.337748344370861
ART-0253,Upper,Basic Chert,Abraded,68.9,20.3,7.9,NA,5.42,0.288,3.394088669950739
ART-0254,Upper,Basic Chert,Abraded,63.8,25.9,8.2,7,7.53,0.121,2.4633204633204633
ART-0255,Upper,Fine Chert,Plain,48.2,20.8,6.8,8.3,3.8099999999999996,0.249,2.3173076923076925
ART-0256,Upper,Fine Chert,Abraded,50.6,21.6,6.9,6.9,4.470000000000001,0.347,2.3425925925925926
ART-0257,Upper,Basic Chert,Abraded,54.2,22.7,6.4,6.6,4.87,0.419,2.387665198237886
ART-0258,Upper,Fine Chert,Abraded,58.6,23.3,7.3,7,5.24,0.302,2.515021459227468
ART-0259,Upper,Fine Chert,Plain,48.9,17.5,8.3,4.5,4.470000000000001,0.456,2.794285714285714
ART-0260,Upper,Quartzite,Faceted,66.4,21,7.7,6.6,6.04,0.206,3.161904761904762
ART-0261,Upper,Fine Chert,Faceted,61.5,23.4,7.1,6.6,5.08,0.436,2.628205128205128
ART-0262,Upper,Fine Chert,Abraded,43.6,16.9,8.5,6.7,3,0.138,2.579881656804734
ART-0263,Upper,Obsidian,Abraded,48.3,18.3,5.6,5.7,2.92,0.279,2.6393442622950816
ART-0264,Upper,Fine Chert,Abraded,61.5,22.8,7.1,6.4,5.2700000000000005,0.425,2.6973684210526314
ART-0265,Upper,Obsidian,Faceted,48.9,16.8,6.3,6.6,3.01,0.277,2.9107142857142856
